NUESP,ESP,RL_2022
59767,Nomada flavopicta,LC
59744,Nomada fucata,LC
59827,Nomada fulvicornis,LC
59768,Nomada furva,EN
59770,Nomada fuscicornis,NT
59771,Nomada goodeniana,LC
59772,Nomada gransassoi,NT
59773,Nomada guttulata,NT
59774,Nomada hirtipes,LC
59775,Nomada integra,LC
59776,Nomada italica,RE
59777,Nomada kohli,VU
59778,Nomada lathburiana,LC
59779,Nomada leucophthalma,LC
59840,Nomada linsenmaieri,EN
59781,Nomada marshamella,LC
59782,Nomada melathoracica,CR
59843,Nomada minuscula,DD
59783,Nomada moeschleri,LC
59784,Nomada mutabilis,EN
59785,Nomada mutica,EN
59786,Nomada nobilis,EN
59787,Nomada obscura,LC
59788,Nomada obtusifrons,LC
59789,Nomada opaca,RE
59790,Nomada panurgina,RE
59769,Nomada panzeri,LC
59792,Nomada piccioliana,EN
59793,Nomada pleurosticta,EN
59794,Nomada posthuma,VU
59795,Nomada rhenana,CR
59796,Nomada roberjeotiana,RE
59746,Nomada ruficornis,LC
59797,Nomada rufipes,VU
59798,Nomada sexfasciata,LC
59799,Nomada sheppardana,LC
59800,Nomada signata,LC
59801,Nomada similis,VU
59802,Nomada stigma,EN
59803,Nomada striata,NT
59804,Nomada succincta,LC
59845,Nomada tormentillae,VU
59806,Nomada tridentirostris,RE
59808,Nomada villosa,VU
59809,Nomada zonata,LC
59586,Osmia alticola,NT
59587,Osmia anceyi,EN
59588,Osmia andrenoides,VU
59590,Osmia aurulenta,LC
59591,Osmia bicolor,LC
59621,Osmia bicornis,LC
59593,Osmia brevicornis,VU
59594,Osmia caerulescens,LC
59597,Osmia cornuta,LC
59600,Osmia gallarum,LC
59601,Osmia inermis,LC
59602,Osmia labialis,LC
59604,Osmia latreillei,RE
59605,Osmia leaiana,LC
59608,Osmia ligurica,RE
59614,Osmia mustelina,LC
59615,Osmia nigriventris,VU
59648,Osmia niveata,NT
59617,Osmia parietina,LC
59618,Osmia pilicornis,EN
59622,Osmia rufohirta,VU
59623,Osmia scutellaris,EN
59624,Osmia spinulosa,VU
59659,Osmia steinmanni,NT
59625,Osmia submicans,NT
59626,Osmia tergestensis,EN
59629,Osmia uncinata,NT
59645,Osmia viridana,EN
59632,Osmia xanthomelana,LC
59239,Panurginus herzi,LC
59226,Panurginus montanus,LC
59224,Panurginus sericatus,LC
59227,Panurgus banksianus,LC
59228,Panurgus calcaratus,LC
59229,Panurgus dentipes,VU
59810,Pasites maculatus,LC
59649,Protosmia minutula,VU
59404,Pseudapis diversipes,LC
59647,Pseudoanthidium nanum,VU
59520,Rhodanthidium caturigense,EN
59530,Rhodanthidium septemdentatum,VU
59406,Rhophitoides canus,EN
59407,Rophites algirus,VU
59408,Rophites quinquespinosus,EN
59409,Sphecodes albilabris,LC
59410,Sphecodes alternatus,VU
59411,Sphecodes crassanus,RE
59412,Sphecodes crassus,LC
59413,Sphecodes cristatus,EN
59414,Sphecodes croaticus,NT
59415,Sphecodes dusmeti,CR
59416,Sphecodes ephippius,LC
59417,Sphecodes ferruginatus,LC
59418,Sphecodes geoffrellus,LC
59419,Sphecodes gibbus,LC
59420,Sphecodes hyalinatus,LC
59421,Sphecodes longulus,LC
59422,Sphecodes majalis,NT
59423,Sphecodes marginatus,RE
59424,Sphecodes miniatus,NT
59425,Sphecodes monilicornis,LC
59426,Sphecodes niger,LC
59427,Sphecodes pellucidus,VU
59428,Sphecodes pseudofasciatus,LC
59429,Sphecodes puncticeps,LC
59430,Sphecodes reticulatus,NT
59431,Sphecodes rubicundus,NT
59432,Sphecodes ruficrus,LC
59433,Sphecodes rufiventris,NT
59434,Sphecodes scabricollis,LC
59435,Sphecodes schenckii,LC
59436,Sphecodes spinulosus,EN
59448,Sphecodes zangherii,VU
59633,Stelis annulata,RE
59634,Stelis breviuscula,LC
59635,Stelis franconica,VU
59636,Stelis minima,LC
59637,Stelis minuta,LC
59638,Stelis nasuta,EN
59639,Stelis odontopyga,EN
59640,Stelis ornatula,LC
59641,Stelis phaeoptera,VU
59642,Stelis punctulatissima,LC
59643,Stelis signata,LC
59660,Stelis simillima,EN
59437,Systropha curvicornis,VU
59438,Systropha planidens,RE
59811,Tetralonia alticincta,CR
59812,Tetralonia dentata,EN
59835,Tetralonia fulvescens,EN
59813,Tetralonia hungarica,RE
59839,Tetralonia inulae,CR
59814,Tetralonia macroglossa,VU
59842,Tetralonia pollinosa,RE
59815,Tetralonia salicariae,VU
59817,Thyreus hirtus,VU
59818,Thyreus histrionicus,CR
59819,Thyreus orbatus,VU
59820,Thyreus ramosus,EN
59821,Thyreus truncatus,CR
59644,Trachusa byssina,LC
59522,Trachusa interrupta,CR
59730,Triepeolus tristis,CR
59822,Xylocopa iris,VU
59823,Xylocopa valga,LC
59824,Xylocopa violacea,LC
